Name,News_Page,Allsides_Page,Media_Bias,Agree_Count,Disagree_Count,Agreeance_Ratio,Agreeance
ABC News,http://abcnews.go.com/,https://www.allsides.com/news-source/abc-news-media-bias,left-center,14315,9624,1.487427265170407,somewhat agrees
AlterNet,http://www.alternet.org/,https://www.allsides.com/news-source/alternet-media-bias,left,3613,896,4.032366071428571,absolutely agrees
American Spectator,http://spectator.org/,https://www.allsides.com/news-source/american-spectator,right,7242,2896,2.500690607734806,strongly agrees
Associated Press,http://www.ap.org/,https://www.allsides.com/news-source/associated-press-media-bias,center,8509,6061,1.403893746906451,somewhat agrees
BBC News,http://www.bbc.com/,https://www.allsides.com/news-source/bbc-news-media-bias,center,11622,11367,1.022433359725521,somewhat agrees
Bloomberg,http://www.bloomberg.com/,https://www.allsides.com/news-source/bloomberg-media-bias,center,6660,7883,0.844856019281999,somewhat disagrees
Breitbart News,http://www.breitbart.com/,https://www.allsides.com/news-source/breitbart,right,17632,8188,2.153395212506106,strongly agrees
BuzzFeed News,http://buzzfeednews.com,https://www.allsides.com/news-source/buzzfeed-media-bias,left,6673,6665,1.001200300075018,somewhat agrees
CBS News,http://www.cbsnews.com/,https://www.allsides.com/news-source/cbs-news-media-bias,left-center,7166,5554,1.290241267554915,somewhat agrees
Christian Science Monitor,http://www.csmonitor.com/,https://www.allsides.com/news-source/christian-science-monitor,center,9288,12241,0.758761539089943,somewhat disagrees
CNN (Web News),http://www.cnn.com,https://www.allsides.com/news-source/cnn-media-bias,left-center,28103,29441,0.954553174144899,somewhat disagrees
CNN - Editorial,https://www.cnn.com/opinions,https://www.allsides.com/news-source/cnn-editorial,left,8906,2495,3.569539078156312,absolutely agrees
Daily Beast,http://www.thedailybeast.com/,https://www.allsides.com/news-source/daily-beast-media-bias,left,8027,4290,1.8710955710955712,agrees
Daily Mail,http://dailymail.co.uk,https://www.allsides.com/news-source/daily-mail,right,2669,1964,1.358961303462321,somewhat agrees
Democracy Now,http://www.democracynow.org/,https://www.allsides.com/news-source/democracy-now,left,5629,1864,3.019849785407725,absolutely agrees
Forbes,http://www.forbes.com/,https://www.allsides.com/news-source/forbes,center,4229,2558,1.6532447224394051,agrees
Fox News Opinion,http://www.foxnews.com/opinion.html,https://www.allsides.com/news-source/fox-news-editorial-media-bias,right,6793,1654,4.107013301088271,absolutely agrees
Fox Online News,http://www.foxnews.com/,https://www.allsides.com/news-source/fox-news-media-bias,right-center,23169,32518,0.7124976935850911,somewhat disagrees
